order_id,customers,city,state,order_date,total_units,revenue,product,category,brand,store,sales_rep,weekday,months,years
6,"Sharyn Hopkins",Baldwinsville,NY,2016-01-04,1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
6,"Sharyn Hopkins",Baldwinsville,NY,2016-01-04,1,449,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Monday,January,2016
6,"Sharyn Hopkins",Baldwinsville,NY,2016-01-04,2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
6,"Sharyn Hopkins",Baldwinsville,NY,2016-01-04,2,5999.98,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
7,"Laureen Paul",Bellmore,NY,2016-01-04,1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
7,"Laureen Paul",Bellmore,NY,2016-01-04,2,858,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Monday,January,2016
7,"Laureen Paul",Bellmore,NY,2016-01-04,1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
8,"Leslie Higgins","Saratoga Springs",NY,2016-01-04,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
8,"Leslie Higgins","Saratoga Springs",NY,2016-01-04,2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
9,"Neil Mccall","San Carlos",CA,2016-01-05,2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Tuesday,January,2016
10,"Alane Munoz",Yonkers,NY,2016-01-05,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Tuesday,January,2016
11,"Tarra Guerrero",Auburn,NY,2016-01-05,2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
11,"Tarra Guerrero",Auburn,NY,2016-01-05,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
11,"Tarra Guerrero",Auburn,NY,2016-01-05,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
12,"Marvin Mullins","San Diego",CA,2016-01-06,1,1680.99,"Surly Straggler 650b - 2016","Cyclocross Bicycles",Surly,"Santa Cruz Bikes","Mireya Copeland",Wednesday,January,2016
12,"Marvin Mullins","San Diego",CA,2016-01-06,2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Wednesday,January,2016
13,"Patience Clayton","Niagara Falls",NY,2016-01-08,1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
13,"Patience Clayton","Niagara Falls",NY,2016-01-08,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
13,"Patience Clayton","Niagara Falls",NY,2016-01-08,2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
13,"Patience Clayton","Niagara Falls",NY,2016-01-08,2,858,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Friday,January,2016
14,"Maribel William",Torrance,CA,2016-01-09,1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,"Santa Cruz Bikes","Genna Serrano",Saturday,January,2016
15,"Ellsworth Michael",Carmel,NY,2016-01-09,2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Saturday,January,2016
15,"Ellsworth Michael",Carmel,NY,2016-01-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Saturday,January,2016
15,"Ellsworth Michael",Carmel,NY,2016-01-09,2,898,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Saturday,January,2016
15,"Ellsworth Michael",Carmel,NY,2016-01-09,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Saturday,January,2016
16,"Lea Key",Banning,CA,2016-01-12,1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
16,"Lea Key",Banning,CA,2016-01-12,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
16,"Lea Key",Banning,CA,2016-01-12,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
16,"Lea Key",Banning,CA,2016-01-12,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,299.99,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
17,"Sindy Anderson",Pomona,CA,2016-01-12,2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
17,"Sindy Anderson",Pomona,CA,2016-01-12,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Tuesday,January,2016
18,"Lanita Burton",Coachella,CA,2016-01-14,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
18,"Lanita Burton",Coachella,CA,2016-01-14,2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
18,"Lanita Burton",Coachella,CA,2016-01-14,2,1499.98,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes",Ritchey,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
18,"Lanita Burton",Coachella,CA,2016-01-14,2,5999.98,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
18,"Lanita Burton",Coachella,CA,2016-01-14,1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
19,"Norine Huffman",Encino,CA,2016-01-14,1,1549,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Santa Cruz Bikes","Mireya Copeland",Thursday,January,2016
19,"Norine Huffman",Encino,CA,2016-01-14,2,5999.98,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Thursday,January,2016
20,"Randee Pitts","Canyon Country",CA,2016-01-14,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Santa Cruz Bikes","Mireya Copeland",Thursday,January,2016
20,"Randee Pitts","Canyon Country",CA,2016-01-14,1,2999.99,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Thursday,January,2016
21,"Neoma Daugherty","Mount Vernon",NY,2016-01-15,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
21,"Neoma Daugherty","Mount Vernon",NY,2016-01-15,1,429,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Friday,January,2016
21,"Neoma Daugherty","Mount Vernon",NY,2016-01-15,1,1549,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
22,"Tangela Hurley",Campbell,CA,2016-01-16,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Saturday,January,2016
22,"Tangela Hurley",Campbell,CA,2016-01-16,2,1059.98,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Saturday,January,2016
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Saturday,January,2016
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Saturday,January,2016
23,"Drucilla Gilliam","Santa Clara",CA,2016-01-16,2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Saturday,January,2016
24,"Ashton Lott","Floral Park",NY,2016-01-18,2,898,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Monday,January,2016
24,"Ashton Lott","Floral Park",NY,2016-01-18,2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Venita Daniel",Monday,January,2016
25,"Sam Lester",Baldwin,NY,2016-01-18,1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
25,"Sam Lester",Baldwin,NY,2016-01-18,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
25,"Sam Lester",Baldwin,NY,2016-01-18,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
25,"Sam Lester",Baldwin,NY,2016-01-18,2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
25,"Sam Lester",Baldwin,NY,2016-01-18,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
26,"Jackeline Colon","Wappingers Falls",NY,2016-01-18,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
26,"Jackeline Colon","Wappingers Falls",NY,2016-01-18,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
26,"Jackeline Colon","Wappingers Falls",NY,2016-01-18,1,749.99,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes",Ritchey,"Baldwin Bikes","Venita Daniel",Monday,January,2016
26,"Jackeline Colon","Wappingers Falls",NY,2016-01-18,1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Monday,January,2016
27,"Pamala Henry",Bronx,NY,2016-01-19,2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
27,"Pamala Henry",Bronx,NY,2016-01-19,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
27,"Pamala Henry",Bronx,NY,2016-01-19,1,449,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Tuesday,January,2016
27,"Pamala Henry",Bronx,NY,2016-01-19,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Tuesday,January,2016
28,"Eleni Gordon","Richmond Hill",NY,2016-01-19,2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Tuesday,January,2016
28,"Eleni Gordon","Richmond Hill",NY,2016-01-19,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Baldwin Bikes","Marcelene Boyer",Tuesday,January,2016
28,"Eleni Gordon","Richmond Hill",NY,2016-01-19,1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Marcelene Boyer",Tuesday,January,2016
28,"Eleni Gordon","Richmond Hill",NY,2016-01-19,2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Tuesday,January,2016
29,"Laureen Barry","Orchard Park",NY,2016-01-20,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
29,"Laureen Barry","Orchard Park",NY,2016-01-20,2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
29,"Laureen Barry","Orchard Park",NY,2016-01-20,2,1099.98,"Electra Townie Original 21D - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
29,"Laureen Barry","Orchard Park",NY,2016-01-20,1,469.99,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
29,"Laureen Barry","Orchard Park",NY,2016-01-20,1,1799.99,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
30,"Yvone Guerrero",Merrick,NY,2016-01-20,1,599.99,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
30,"Yvone Guerrero",Merrick,NY,2016-01-20,1,429,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
30,"Yvone Guerrero",Merrick,NY,2016-01-20,1,449,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
30,"Yvone Guerrero",Merrick,NY,2016-01-20,1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
30,"Yvone Guerrero",Merrick,NY,2016-01-20,2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
31,"Edgar Quinn",Harlingen,TX,2016-01-20,2,3361.98,"Surly Straggler 650b - 2016","Cyclocross Bicycles",Surly,"Rowlett Bikes","Kali Vargas",Wednesday,January,2016
31,"Edgar Quinn",Harlingen,TX,2016-01-20,2,5999.98,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Rowlett Bikes","Kali Vargas",Wednesday,January,2016
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
32,"Kimbery Nieves","San Carlos",CA,2016-01-21,2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Thursday,January,2016
33,"Verona O'neill",Selden,NY,2016-01-21,2,599.98,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Thursday,January,2016
33,"Verona O'neill",Selden,NY,2016-01-21,1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Thursday,January,2016
34,"Sarai Mckee",Buffalo,NY,2016-01-22,2,858,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Friday,January,2016
34,"Sarai Mckee",Buffalo,NY,2016-01-22,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
34,"Sarai Mckee",Buffalo,NY,2016-01-22,2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
35,"Neville Mcclain","West Hempstead",NY,2016-01-22,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
35,"Neville Mcclain","West Hempstead",NY,2016-01-22,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
35,"Neville Mcclain","West Hempstead",NY,2016-01-22,2,1199.98,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
35,"Neville Mcclain","West Hempstead",NY,2016-01-22,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Baldwin Bikes","Venita Daniel",Friday,January,2016
35,"Neville Mcclain","West Hempstead",NY,2016-01-22,1,449,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Friday,January,2016
36,"Shantel Gregory","West Islip",NY,2016-01-23,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Baldwin Bikes","Marcelene Boyer",Saturday,January,2016
36,"Shantel Gregory","West Islip",NY,2016-01-23,2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Marcelene Boyer",Saturday,January,2016
36,"Shantel Gregory","West Islip",NY,2016-01-23,1,2999.99,"Trek Conduit+ - 2016","Electric Bikes",Trek,"Baldwin Bikes","Marcelene Boyer",Saturday,January,2016
37,"Tomika Larson",Woodside,NY,2016-01-25,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
38,"Lashandra Turner","Long Beach",NY,2016-01-25,1,299.99,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
38,"Lashandra Turner","Long Beach",NY,2016-01-25,1,549.99,"Electra Townie Original 21D - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
38,"Lashandra Turner","Long Beach",NY,2016-01-25,1,499.99,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
38,"Lashandra Turner","Long Beach",NY,2016-01-25,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Baldwin Bikes","Venita Daniel",Monday,January,2016
38,"Lashandra Turner","Long Beach",NY,2016-01-25,2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Monday,January,2016
39,"Travis Whitley","Saint Albans",NY,2016-01-25,2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
39,"Travis Whitley","Saint Albans",NY,2016-01-25,1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
39,"Travis Whitley","Saint Albans",NY,2016-01-25,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Monday,January,2016
39,"Travis Whitley","Saint Albans",NY,2016-01-25,2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Venita Daniel",Monday,January,2016
40,"Darren Witt",Coachella,CA,2016-01-27,1,429,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Santa Cruz Bikes","Genna Serrano",Wednesday,January,2016
40,"Darren Witt",Coachella,CA,2016-01-27,2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Genna Serrano",Wednesday,January,2016
41,"Ingeborg Ellison",Ithaca,NY,2016-01-27,2,1199.98,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
41,"Ingeborg Ellison",Ithaca,NY,2016-01-27,1,1320.99,"Heller Shagamaw Frame - 2016","Mountain Bikes",Heller,"Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
41,"Ingeborg Ellison",Ithaca,NY,2016-01-27,2,898,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Wednesday,January,2016
42,"Corene Swanson","Rego Park",NY,2016-01-27,1,449,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Wednesday,January,2016
43,"Elana Miles",Liverpool,NY,2016-01-27,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Wednesday,January,2016
43,"Elana Miles",Liverpool,NY,2016-01-27,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Wednesday,January,2016
44,"Olympia Figueroa","Hopewell Junction",NY,2016-01-28,1,599.99,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Thursday,January,2016
44,"Olympia Figueroa","Hopewell Junction",NY,2016-01-28,1,3999.99,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Thursday,January,2016
45,"Carissa Cross","Huntington Station",NY,2016-01-28,2,539.98,"Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Thursday,January,2016
45,"Carissa Cross","Huntington Station",NY,2016-01-28,1,269.99,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Thursday,January,2016
45,"Carissa Cross","Huntington Station",NY,2016-01-28,2,5799.98,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,"Baldwin Bikes","Venita Daniel",Thursday,January,2016
46,"Eldridge Greer","Central Islip",NY,2016-01-29,1,429,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Venita Daniel",Friday,January,2016
47,"Joshua Berg",Ossining,NY,2016-01-29,1,269.99,"Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
47,"Joshua Berg",Ossining,NY,2016-01-29,1,529.99,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
47,"Joshua Berg",Ossining,NY,2016-01-29,2,999.98,"Electra Townie Original 7D - 2015/2016","Comfort Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Friday,January,2016
